Общая стоимость товаров,Общая сумма заказа,ID товара,Наименование,Артикул_x,Свободно,В резерве,Ед. изм,Цена закупки,Валюта цены представление,Артикул_y,Id,Количество товаров
32385,32734,157595602,набор расширений для роббо лаборатории,ROBBO-lab-ext,,,,,,,,
32385,32734,157595456,роббо лаборатория,ROBBO-lab,,,,,,,,
6200,6549,157254600,аппаратный кошелёк bitbox02 (bitbox02 multi),HW-BB02m,,,,,,,,
48960,49210,148073985,одноплатный микрокомпьютер raspberry pi 3 b+ (raspberry),RPI-3Bplus-1GB,,,,,,,,
2080,2442.96,148073790,стекло для подогреваемой платформы designer x pro/ designer x,3D-PICASO-1016,-4,4,шт,,,3D-PICASO-1016,,
100,100,148074027,кабель xh-2.54-4p для подключения к макетной плате,GG-005192,7,2,шт,,,GG-005192,,
1300,1300,156432510,"книга ""командная строка linux. полное руководство. 2-е межд. изд.""",B-PIT-1430,,,,965.09000000000003,,,,
838.24000000000001,1040,148073727,"книга ""внутреннее устройство linux""",lc942,,,,,,,,
838.24000000000001,1040,148073419,"книга ""мейкерство. arduino и raspberry pi. управление движением, светом и звуком""",B-BHV-3754,,,,319.19999999999999,,,,
551.20000000000005,551.20000000000005,148073858,"книга ""sql для чайников, 8-е изд.""",lc1104,,,шт,,,lc1104,,
2350,2738,148073732,"книга ""ubuntu linux с нуля""",B-BHV-3953,,,,350,,,,
2350,2738,148073710,"книга ""глазами хакера. linux глазами хакера. 5-е изд.""",lc926,,,,,,,,
2350,2738,156432510,"книга ""командная строка linux. полное руководство. 2-е межд. изд.""",B-PIT-1430,,,,965.09000000000003,,,,
6590,6590,154910621,подписка на печатную версию журнала «системный администратор» 01-12/2020 (почта россии),samag-2020-01-12-p,,,,5560,,,,
1390,1390,155919733,debian 10.1 (для платформы x86-64 / usb flash 16 gb),debian-101-USB-64,,,,,,,,
4940,5190,148073732,"книга ""ubuntu linux с нуля""",B-BHV-3953,,,,350,,,,
4940,5190,157289036,"книга ""архитектура компьютера. 6-е изд.""",B-PIT-1103,,,,,,,,
4940,5190,148073727,"книга ""внутреннее устройство linux""",lc942,,,,,,,,
4940,5190,148073797,"книга ""изучаем arduino: инструменты и методы технического волшебства""",lc8487,,,,,,,,
4940,5190,148074050,набор arduino starter kit с rfid (arduino),lc1382,,,,1960,,,,
750,1101.5999999999999,148073720,мини-tux,lc8250,15,105,шт,,,TU-tux-big,,
810,810,159155401,centos 7 (для платформы x86-64 / 2dvd),centos-77-2DVD-64,,,,,,,,
810,810,148074044,fedora 30 (для платформы x86-64 / 1dvd),Fedora-30-DVD-64L,,,,,,,,
640,1003,148073838,"книга ""data science. наука о данных с нуля""",lc1084,,,,448,,,,
500,849,148073732,"книга ""ubuntu linux с нуля""",B-BHV-3953,,,,350,,,,
1016.5,1378,148073727,"книга ""внутреннее устройство linux""",lc942,,,,,,,,
1016.5,1378,148073710,"книга ""глазами хакера. linux глазами хакера. 5-е изд.""",lc926,,,,,,,,
695,1033,156667737,ubuntu 19.10 (для платформы x86-64 / usb flash 16 gb),ubuntu-1910-USB-64,,,,,,,,
3180,3180,148073774,"pla-пластик cyberfiber, 1.75 мм, 750 г (зелёный)",3D-PLACF-175-075-12,,,,,,,,
3180,3180,148073774,"pla-пластик cyberfiber, 1.75 мм, 750 г (красный)",3D-PLACF-175-075-11,,,,,,,,
9990,10339,148073408,"набор ""электроника для начинающих 2.0."" (большой) + книга (28 экспериментов)",lc9192,,,,,,,,
1248,1610,148073485,токопроводящая краска bare conductive (10 мл),lc8696,,,шт,,,lc8696,,
695,1044,148073524,ubuntu 18.04 (для платформы x86-64 / usb flash 16 gb),ubuntu-1804-USB-64,,,,,,,,
695,1044,148073524,ubuntu 18.04 (для платформы x86-64 / usb flash 16 gb),ubuntu-1804-USB-64,,,,,,,,
4000,4000,154910628,подписка на электронную версию журнала «системный администратор» 01-12/2020,samag-el-2020-01-12,,,шт,2200,,samag-el-2020-01-12,,
1400,1400,148073714,"книга ""путеводитель по электронным компонентам""",lc9214,,,шт,350,,lc9214,,
792,792,148073659,centos 7 (с лицензионным договором присоединения) (для платформы x86-64 / 1dvd),centos-77-DVD-64L,,,,,,,,
2160,2509,148073668,libreoffice 6.2 (с лицензионным договором присоединения) (1dvd),libreoffice-62-DVD-L,,,,,,,,
2160,2509,148073618,linux mint 19 (с лицензионным договором присоединения) (для платформы x86-64 / 1dvd),mint-19-DVD-64L,,,,,,,,
865,1214,148073659,centos 7 (с лицензионным договором присоединения) (для платформы x86-64 / 1dvd),centos-73-DVD-64L,,,,141,,,,
3099.1999999999998,3462,148073865,электронный конструктор микроник,AMP-S016,,,,710,,,,
3099.1999999999998,3462,148073866,электронный конструктор робожук,AMP-S042,,,,1428,,,,
8980,9384.3999999999996,148073869,«автополив» — дополнение набора «йодо»,AMP-S040,,,,,,,,
8980,9384.3999999999996,148073867,электронный конструктор йодо,AMP-S024,,,,,,,,
1990,2424.4000000000001,148073866,электронный конструктор робожук,AMP-S042,,,,1428,,,,
8580,8943,148073862,электронный конструктор «интернет вещей» — продолжение набора «матрёшка»,AMP-S035,,,,,,,,
8580,8943,148073861,электронный конструктор матрёшка z,AMP-S010,,,,3652,,,,
800,800,148073984,блок питания для raspberry pi 4 (raspberry),RPI-4-PSU,,,,,,,,
1029.5999999999999,1264,148073865,электронный конструктор микроник,AMP-S016,,,,710,,,,
695,1044,155919733,debian 10.1 (для платформы x86-64 / usb flash 16 gb),debian-101-USB-64,,,,,,,,
2160,2509,159980461,ubuntu 18.04 (с лицензионным договором присоединения) (для платформы x86-64 / 1dvd),ubuntu-1804-DVD-64L,,,,,,,,
2160,2509,148073525,ubuntu server 18.04 (с лицензионным договором присоединения) (для платформы x86-64 / 1dvd),ubuntu-server-1804-DVD-64L,,,,,,,,
750,1005.6,148073720,мини-tux,lc8250,15,105,шт,630,,TU-tux-big,,
750,1099,148073720,мини-tux,lc8250,15,105,шт,630,,TU-tux-big,,
7332,7694,148073984,блок питания для raspberry pi 4 (raspberry),RPI-4-PSU,,,,,,,,
7332,7694,148726626,корпус для raspberry pi 4 (raspberry),RPI-4B-case,,,,,,,,
7332,7694,148073983,одноплатный микрокомпьютер raspberry pi 4 (4gb ram) (raspberry),RPI-4B-4GB,,,,,,,,
410.80000000000001,676,160139008,linux mint 19 (для платформы i386 / 1dvd),mint-19-DVD-32,,,,,,,,
1320,1320,160410172,"книга ""язык программирования go""",B-WIL-21,,,шт,926.51999999999998,,B-WIL-21,,
722.79999999999995,1063.5,148073524,ubuntu 18.04 (для платформы x86-64 / usb flash 16 gb),ubuntu-1804-USB-64,,,,,,,,
5890,5890,148073422,5300 mah lithium battery - внешняя батарея для cubietruck (cubieboard),lc8253,,,,,,,,
5890,5890,148074037,металлический корпус для cubietruck (metal case) (витринный) (cubieboard),lc8370,,,,,,,,
3490,3490,148073862,электронный конструктор «интернет вещей» — продолжение набора «матрёшка»,AMP-S035,,,,,,,,
1450,1705.5999999999999,156425816,debian 9.11 (для платформы x86-64 / 14dvd (полный набор репозиториев)),debian-911-14DVD-64,,,,483,,,,
1656,1656,161335077,centos 7.0 (с лицензионным договором присоединения) (для платформы x86-64 / 1dvd),centos-70-DVD-64L,,,,,,,,
1656,1656,161335128,debian 9.6 (с лицензионным договором присоединения) (для платформы x86-64 / 1dvd),debian-96-DVD-64L,,,,180,,,,
2050,2399,148073720,мини-tux,lc8250,15,105,шт,630,,TU-tux-big,,
2050,2399,148073930,футболка мужская «каждый senior когда-то был junior» (l),TSHIRT-09,,,,,,,,
780,1130,148073720,мини-tux,lc8250,15,105,шт,630,,TU-tux-big,,
2000,2000,148073918,подписка на электронную версию журнала «системный администратор» 07-12/2019,samag-el-2019-07-12,,,шт,,,samag-el-2019-07-12,,
832,1092,148073984,блок питания для raspberry pi 4 (raspberry),RPI-4-PSU,,,,,,,,
1080,1488,159980461,ubuntu 18.04 (с лицензионным договором присоединения) (для платформы x86-64 / 1dvd),ubuntu-1804-DVD-64L,,,,,,,,
1080,1429,148073525,ubuntu server 18.04 (с лицензионным договором присоединения) (для платформы x86-64 / 1dvd),ubuntu-server-1804-DVD-64L,,,,,,,,
395,395,160828922,debian 10.2 (для платформы x86-64 / 1dvd),debian-102-DVD-64,,,,168.5,,,,
743.64999999999998,1031,160139008,linux mint 19 (для платформы x86-64 / usb flash 16 gb),mint-19-USB-64,,,,,,,,
790,790,160139008,linux mint 19 (для платформы x86-64 / 1dvd),mint-19-DVD-64,,,,,,,,
790,790,162066069,manjaro linux 18.1 (для платформы i386 / 1dvd),manjaro-linux-181,,,,,,,,
1500,1500,148073775,"пластик pla pro, 1.75 мм, 750 г (черный)",3D-PLAPRO-175-075-b,,,,1100,,,,
