Общая стоимость товаров,Общая сумма заказа,ID товара,Наименование,Артикул_x,Свободно,В резерве,Ед. изм,Цена закупки,Валюта цены представление,Артикул_y,Id,Количество товаров
19990,21220,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
332,332,228168308,"№18 патрон с впаянной лампой 2,5 v/ 0,3a",znat018L,6,35,шт,129.25,,znat018L,,
17990,18389,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20400,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
457.48000000000002,457.48000000000002,228175028,№39 электродвигатель,znat039,9,,шт,193.38,,znat039,,
19990,20389,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,19990,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
1158,1158,219803800,"книга: дронов в.а. ""django 3.0. практика создания веб-сайтов на python""",B-BHV-6691,,7,шт,840,,B-BHV-6691,,
19990,20389,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20789,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
1600,1600,301665206,"книга: прохоренок н.а. ""qt 6. разработка оконных приложений на c++""",B-BHV-1180,,4,шт,700,,B-BHV-1180,,
124,124,228199223,провод-перемычка (серый),znat-provod-grey,,,,43,,,,
19990,20425,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20389,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20770,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20400,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
800,800,227001584,плата raspberry pi pico,RPI-PICO,,,шт,351.22000000000003,,RPI-PICO,,
19990,19990,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20539,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
250,250,168621728,беспаечная макетная плата wbu-202,884551,3,1,шт,111,,884551,,
21980,22280,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
21980,22280,343073435,силиконовый чехол для flipper zero,FLP-A-CASE-OR,-2,2,шт,1060.8299999999999,,FLP-A-CASE-OR,,
19990,20400,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
630,630,232501549,"книга: кириченко а.в., никольский а.п., дубовик е.в. ""web на практике. css, html, javascript, mysql, php для fullstack-разработчиков""",B-NIT-271,,,,413.83999999999997,,,,
1586,2099,343074318,макетные платы для flipper zero,FLP-M-PROTO-3X,3,6,шт,1017,,FLP-M-PROTO-3X,,
164800,165199,148073861,"конструктор электронный амперка ""матрёшка z""",AMP-S010,,,шт,4192,,AMP-S010,,
300,1099,311662217,комплект из 4-х алюминиевых радиаторов для raspberry pi 4,005666,,,,66.650000000000006,,,,
2402,2402,148073999,"конвертер usb-uart 3.3v, 5v на базе cp2102 (quatro-модуль)",GG-003945,,,шт,210.44999999999999,,GG-003945,,
2402,2402,343074318,макетные платы для flipper zero,FLP-M-PROTO-3X,3,6,шт,1017,,FLP-M-PROTO-3X,,
2402,2402,300299181,модуль rfid mfrc-522  + карта и брелок,GG-103218,1,,шт,120,,GG-103218,,
308,308,148073962,светодиод (quatro-модуль) (жёлтый / свет),GG-004302-10,,,,44.799999999999997,,,,
1090,1090,343074518,защитные плёнки для flipper zero (3 шт.),FLP-A-FILM-3X,,4,шт,686.03999999999996,,FLP-A-FILM-3X,,
19990,19990,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
3380,3624,221622960,акселерометр (troyka-модуль),AMP-B041,2,1,шт,310,,AMP-B041,,
3380,3624,221623390,магнитометр / компас (troyka-модуль),AMP-B033,,3,шт,584,,AMP-B033,,
19990,20389,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
830,830,173924944,карта памяти kingston canvas select plus microsd + raspberry pi os (32 гб + sd-адаптер),SDCS2-32GB-RASP,-1,1,шт,462,,SDCS2-32GB-RASP,,
11830,11830,148073408,"набор по электронике ""электроника для начинающих 2.0."" (большой) + книга (28 экспериментов)",lc9192,,,шт,9940,,lc9192,,
3000,3000,336016587,кабель для подключения oculus quest 2,211423,,,,717.25,,,,
2520,2520,321199218,зарядная станция для зарядки для oculus quest 2,211218,,,шт,3115,,211218,,
1440,1440,276353513,"книга: назина о. ""что такое тестирование. курс молодого бойца""",B-BHV-6835,-25,36,шт,808.5,,B-BHV-6835,,
960,960,321210790,силиконовый чехол для шлема vr oculus quest 2,212790,1,6,шт,442.69999999999999,,212790,,
249,249,148073952,потенциометр 5 ком (quatro-модуль),GG-003952,,,шт,87.599999999999994,,GG-003952,,
4975,4975,148073914,электронный конструктор эвольвектор: уровень 1. переходный набор от стартового к основному,ЭВ-115,,2,шт,3003,,ЭВ-115,,
991.99000000000001,991.99000000000001,347519265,"книга: виафоре п. ""надежный python""",B-BHV-1174,,4,шт,560,,B-BHV-1174,,
1137.6600000000001,1137.6600000000001,291848418,"книга: валиаппа лакшманан, майкл мунн, сара робинсон ""машинное обучение.паттерны проектирования""",B-BHV-6797,,4,шт,770,,B-BHV-6797,,
960,960,321210790,силиконовый чехол для шлема vr oculus quest 2,212790,1,6,шт,442.69999999999999,,212790,,
1586,1586,343074318,макетные платы для flipper zero,FLP-M-PROTO-3X,3,6,шт,1017,,FLP-M-PROTO-3X,,
598,849,148073628,драйвер l298n 2x motor shield мощный для двигателей постоянного тока,GG-003646,,2,шт,206.84999999999999,,GG-003646,,
1586,1787,343074318,макетные платы для flipper zero,FLP-M-PROTO-3X,3,6,шт,1017,,FLP-M-PROTO-3X,,
3880,4279,148073668,libreoffice 6.4 (с лицензионным договором присоединения) (usb flash 16 gb),libreoffice-64-USB-L,,,,323,,,,
3500,3500,148073984,блок питания для raspberry pi 4. официальный (белый),RPI-4-PSU-W,-6,6,шт,674.38,,RPI-4-PSU-W,,
3500,3500,321223946,мышь raspberry pi,RPI-Mouse,5,3,шт,799.92999999999995,,RPI-Mouse,,
288.75999999999999,288.75999999999999,311662217,комплект из 4-х алюминиевых радиаторов для raspberry pi 4,005666,,,,66.650000000000006,,,,
695,695,296475941,kali linux 2022.1 live,kali-221-USB-64,,,шт,311,,kali-221-USB-64,,
5149,5425,352895195,"комплект bobovr m2 pro+, облегченный, для oculus quest 2",211352,-4,16,шт,2817.4200000000001,,211352,,
23980,24379,343075088,модуль wi-fi devboard для flipper zero,FLP-M-WIFI,-2,12,шт,3059.5300000000002,,FLP-M-WIFI,,
23980,24379,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
48000,48699,197889087,"микрокомпьютер raspberry pi 4 model b, 8gb ram",RPI-4B-8GB,-15,16,шт,22645,,RPI-4B-8GB,,
19990,21081,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
249,249,311662217,комплект из 4-х алюминиевых радиаторов для raspberry pi 4,005666,,,,66.650000000000006,,,,
25070,25556,343074518,защитные плёнки для flipper zero (3 шт.),FLP-A-FILM-3X,,4,шт,686.03999999999996,,FLP-A-FILM-3X,,
25070,25556,343075088,модуль wi-fi devboard для flipper zero,FLP-M-WIFI,-2,12,шт,3059.5300000000002,,FLP-M-WIFI,,
25070,25556,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
25070,25556,343074518,защитные плёнки для flipper zero (3 шт.),FLP-A-FILM-3X,,4,шт,686.03999999999996,,FLP-A-FILM-3X,,
25070,25556,343075088,модуль wi-fi devboard для flipper zero,FLP-M-WIFI,-2,12,шт,3059.5300000000002,,FLP-M-WIFI,,
25070,25556,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
44100,44100,274177948,шлем виртуальной реальности oculus quest 2 - 128 gb,oculus128,,,,30496.509999999998,,,,
1530,1530,336491085,шарф for linux fun,TU-FLF,46,9,шт,950,,TU-FLF,,
44100,44100,274177948,шлем виртуальной реальности oculus quest 2 - 128 gb,oculus128,,,,30496.509999999998,,,,
19990,20353,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20539,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20614,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
1363,1363,284421982,"книга: уитни д. ""программирование для детей. учимся создавать сайты, приложения и игры. html, css и javascript""",B-PIT-0650,,,,864.72000000000003,,,,
2000,2000,148073720,мини-tux,TU-tux-big,15,105,шт,800,,TU-tux-big,,
19990,20565,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
249,249,311662217,комплект из 4-х алюминиевых радиаторов для raspberry pi 4,005666,,,,66.650000000000006,,,,
3444,3444,321033385,зарядная станция aolion для зарядки oculus quest 2,210385,,,шт,2298,,210385,,
54000,54890,348941558,микрокомпьютер lattepanda 3 delta 864,373248,1,,шт,22358.490000000002,,373248,,
711,711,148073714,"книга ""путеводитель по электронным компонентам""",lc9214,,,шт,325,,lc9214,,
332,332,228169223,№19 батарейный отсек 3v,znat019,15,33,шт,129.25,,znat019,,
332,332,228169223,№19 батарейный отсек 3v,znat019,15,33,шт,129.25,,znat019,,
427,427,148073939,драйвер l293d для двух двигателей постоянного тока,GG-003645,,,шт,295,,GG-003645,,
19990,20389,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
711,711,148073714,"книга ""путеводитель по электронным компонентам""",lc9214,,,шт,325,,lc9214,,
83,83,148073627,переключатели kcd1-102-c1-b/3p on-on,lc100787,,,,9,,,,
747,747,221427481,плата troyka mega tail shield,AMP-B036,3,1,шт,592,,AMP-B036,,
19990,20290,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
920,920,331377358,"книга: матвеев м. д. ""astra linux. установка, настройка, администрирование""",B-NIT-07,,13,шт,451.56999999999999,,B-NIT-07,,
2000,2000,148073720,мини-tux,TU-tux-big,15,105,шт,800,,TU-tux-big,,
688,688,148073819,"книга ""postgresql. основы языка sql""",lc1055,,,шт,492.80000000000001,,lc1055,,
1205.21,1205.21,160410172,"книга ""язык программирования go""",B-WIL-21,,,шт,1623.5999999999999,,B-WIL-21,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
166,166,166453563,радиаторы для raspberry pi 4 (алюминий),664563,-1,11,шт,23.77,,664563,,
1212,1361,309137861,"книга: молочков в. п.""создание сайта, его seo-продвижение и монетизация. самоучитель""",B-BHV-6878,-12,16,шт,630,,B-BHV-6878,,
3500,3549,321223155,клавиатура raspberry pi,RPI-Keyboard,1,6,шт,1693.7,,RPI-Keyboard,,
249,249,311662217,комплект из 4-х алюминиевых радиаторов для raspberry pi 4,005666,,,,66.650000000000006,,,,
2430,2430,337658160,"книга: клеппман м. ""высоконагруженные приложения. программирование, масштабирование, поддержка""",B-PIT-0512,,,шт,1842.4000000000001,,B-PIT-0512,,
6300,6349,196461369,"книга: эви немет, гарт снайдер, трент хейн, бен уэйли, дэн макин ""unix и linux: руководство системного администратора"", 5-е изд.",B-WIL-10,,,,4806,,,,
249,249,228166508,№13 геркон,znat013,-40,40,шт,74.609999999999999,,znat013,,
820,820,244393364,"книга: волох с.в. ""ubuntu linux с нуля, 2 изд.""",B-BHV-6761,-1,13,шт,438.89999999999998,,B-BHV-6761,,
190,190,337656760,"шлейф для камеры raspberry pi, 100см",614329,1,2,шт,105,,614329,,
249,249,311662217,комплект из 4-х алюминиевых радиаторов для raspberry pi 4,005666,,,,66.650000000000006,,,,
23980,24830,343075088,модуль wi-fi devboard для flipper zero,FLP-M-WIFI,-2,12,шт,3059.5300000000002,,FLP-M-WIFI,,
23980,24830,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
498,498,311225029,"набор винтовых клеммников dg301, 2 вида по 15 шт.",GG-005940,2,8,шт,133.59999999999999,,GG-005940,,
498,498,311225029,"набор винтовых клеммников dg301, 2 вида по 15 шт.",GG-005940,2,8,шт,133.59999999999999,,GG-005940,,
19990,19990,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
1890,1890,282506314,"книга: фрэйн б. ""отзывчивый дизайн на html5 и css3 для любых устройств. 3-е изд.""",B-PIT-1495,,,шт,1410.8800000000001,,B-PIT-1495,,
19990,20389,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20400,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
450,450,232499109,"книга: кириченко а.в., дубовик е.в. ""справочник html. кратко, быстро, под рукой""",B-NIT-275,,,,285.04000000000002,,,,
690,1089,331377358,"книга: матвеев м. д. ""astra linux. установка, настройка, администрирование""",B-NIT-07,,13,шт,451.56999999999999,,B-NIT-07,,
1620,1620,258384685,"книга: сикорд р. ""эффективный c. профессиональное программирование""",B-PIT-1851,,,шт,1155,,B-PIT-1851,,
1620,1620,258384685,"книга: сикорд р. ""эффективный c. профессиональное программирование""",B-PIT-1851,,,шт,1155,,B-PIT-1851,,
249,249,228166508,№13 геркон,znat013,-40,40,шт,74.609999999999999,,znat013,,
1800,1800,160410172,"книга ""язык программирования go""",B-WIL-21,,,шт,1623.5999999999999,,B-WIL-21,,
352,352,228170284,№24 электродвигатель,znat024,-1,68,шт,138,,znat024,,
207,207,228167517,№15 выключатель,znat015,22,10,шт,79,,znat015,,
249,249,228166508,№13 геркон,znat013,-40,40,шт,74.609999999999999,,znat013,,
3240,3240,258381482,"книга: негус к. ""библия linux. 10-е издание""",B-PIT-1797,,,шт,2522.6399999999999,,B-PIT-1797,,
902,902,148073726,"книга: мэтт ричардсон, шон уоллес ""заводим raspberry pi""",lc941,,,шт,451,,lc941,,
24200,24200,148073983,"микрокомпьютер raspberry pi 4 model b, 4gb ram",RPI-4B-4GB,-9,9,шт,15803.940000000001,,RPI-4B-4GB,,
695,695,316686899,linux mint 21 (для платформы x86-64 / 1dvd),mint-21-DVD-64,,,,129,,,,
19990,20425,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
450,450,251102698,"книга: кольцов д.м., дубовик е.в. ""справочник python. кратко, быстро, под рукой""",B-NIT-717,,,,278.18000000000001,,,,
117,117,228167517,№15 выключатель,znat015,22,10,шт,79,,znat015,,
960,960,321210790,силиконовый чехол для шлема vr oculus quest 2,212790,1,6,шт,442.69999999999999,,212790,,
1330,1330,218015021,"книга: кетов д.в. ""внутреннее устройство linux, 2-изд.""",B-BHV-6630,,,шт,462,,B-BHV-6630,,
936,1130,218015021,"книга: кетов д.в. ""внутреннее устройство linux, 2-изд.""",B-BHV-6630,,,шт,462,,B-BHV-6630,,
249,249,311662217,комплект из 4-х алюминиевых радиаторов для raspberry pi 4,005666,,,,66.650000000000006,,,,
2430,2430,337658160,"книга: клеппман м. ""высоконагруженные приложения. программирование, масштабирование, поддержка""",B-PIT-0512,,,шт,1842.4000000000001,,B-PIT-0512,,
14170,14737,177718107,"кабель hdmi — micro-hdmi (1,5m) (чёрный)",037027,,,,444.55000000000001,,,,
14170,14737,173924944,карта памяти kingston canvas select plus microsd + raspberry pi os (128 гб + sd-адаптер),SDCS2-128GB-RASP,,,,1193,,,,
14170,14737,249050185,мини-компьютер raspberry pi 400,RPI-400,,,шт,7490.8400000000001,,RPI-400,,
14170,14737,166450443,переходник с hdmi на micro-hdmi,849379,-1,8,шт,260,,849379,,
23070,23469,343074518,защитные плёнки для flipper zero (3 шт.),FLP-A-FILM-3X,,4,шт,686.03999999999996,,FLP-A-FILM-3X,,
23070,23469,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
23070,23469,343073435,силиконовый чехол для flipper zero,FLP-A-CASE-OR,-2,2,шт,1060.8299999999999,,FLP-A-CASE-OR,,
1113.6400000000001,1113.6400000000001,291848418,"книга: валиаппа лакшманан, майкл мунн, сара робинсон ""машинное обучение.паттерны проектирования""",B-BHV-6797,,4,шт,770,,B-BHV-6797,,
695,695,316686899,linux mint 21 (для платформы x86-64 / 1dvd),mint-21-DVD-64,,,,129,,,,
1999,1999,321192810,"книга: бранд александр, ландер ричард, россо джош, харрис джон   ""kubernetes на практике""",B-BHV-1210,,,,840,,,,
3359,3359,348964199,защитный кейс bobovr c2 для oculus quest 2,783463,,8,шт,1612.78,,783463,,
3359,3359,348964199,защитный кейс bobovr c2 для oculus quest 2,783463,,8,шт,1612.78,,783463,,
3359,3359,348964199,защитный кейс bobovr c2 для oculus quest 2,783463,,8,шт,1612.78,,783463,,
695,995,160803572,ubuntu server 18.04 (для платформы x86-64 / usb flash 16 gb),ubuntu-server-1804-USB-64,,,,311,,,,
19990,20539,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20290,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
352,352,228170284,№24 электродвигатель,znat024,-1,68,шт,138,,znat024,,
1440,1440,276353513,"книга: назина о. ""что такое тестирование. курс молодого бойца""",B-BHV-6835,-25,36,шт,808.5,,B-BHV-6835,,
8700,9099,254286683,плата расширения для ssd-накопителя 52pi raspberry pi 4 model b x862 m.2 2280 sata,342004,,2,шт,2632.0500000000002,,342004,,
19990,20389,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
21980,22280,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
21980,22280,343073435,силиконовый чехол для flipper zero,FLP-A-CASE-OR,-2,2,шт,1060.8299999999999,,FLP-A-CASE-OR,,
936,936,228167287,№14 кнопка,znat014,,34,шт,79,,znat014,,
19990,20375,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20389,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
5000,5399,339100566,аккумулятор b2 для bobovr m2 pro,212798,-1,1,шт,1527.21,,212798,,
960,960,321210790,силиконовый чехол для шлема vr oculus quest 2,212790,1,6,шт,442.69999999999999,,212790,,
6720,6720,230337945,"электронный конструктор знаток ""вездеход лидер 4х4""",ZP-70834,-1,1,шт,3680,,ZP-70834,,
19990,19990,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
2212,2261,293970044,"книга: тони гэддис ""начинаем программировать на python. 5-е изд.""",B-BHV-6803,-97,100,шт,1260,,B-BHV-6803,,
1245,1245,221607173,синий скотч 3м 2090 для 3d-принтера,3D-3M-2090,,,шт,1490,,3D-3M-2090,,
21980,22579,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
21980,22579,343073435,силиконовый чехол для flipper zero,FLP-A-CASE-OR,-2,2,шт,1060.8299999999999,,FLP-A-CASE-OR,,
352,352,228170284,№24 электродвигатель,znat024,-1,68,шт,138,,znat024,,
1722,1722,282506314,"книга: фрэйн б. ""отзывчивый дизайн на html5 и css3 для любых устройств. 3-е изд.""",B-PIT-1495,,,шт,1410.8800000000001,,B-PIT-1495,,
17990,18570,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20389,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
1090,1311,148073720,мини-tux,TU-tux-big,15,105,шт,800,,TU-tux-big,,
19990,20389,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
28646,29187,343074518,защитные плёнки для flipper zero (3 шт.),FLP-A-FILM-3X,,4,шт,686.03999999999996,,FLP-A-FILM-3X,,
28646,29187,343074318,макетные платы для flipper zero,FLP-M-PROTO-3X,3,6,шт,1017,,FLP-M-PROTO-3X,,
28646,29187,343075088,модуль wi-fi devboard для flipper zero,FLP-M-WIFI,-2,12,шт,3059.5300000000002,,FLP-M-WIFI,,
28646,29187,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
28646,29187,343073435,силиконовый чехол для flipper zero,FLP-A-CASE-OR,-2,2,шт,1060.8299999999999,,FLP-A-CASE-OR,,
1330,1330,218015021,"книга: кетов д.в. ""внутреннее устройство linux, 2-изд.""",B-BHV-6630,,,шт,462,,B-BHV-6630,,
1100,1100,349405395,"книга: иванов м. ""алгоритмический тренинг. решения практических задач на python и с++""",B-BHV-1168,-69,72,шт,539,,B-BHV-1168,,
190,190,227471455,набор для пайки - radio s,274455,,,шт,129,,274455,,
2520,2520,321199218,зарядная станция для зарядки для oculus quest 2,211218,,,шт,3115,,211218,,
3000,3000,336016587,кабель для подключения oculus quest 2,211423,,,,717.25,,,,
3418.8099999999999,3418.8099999999999,258381482,"книга: негус к. ""библия linux. 10-е издание""",B-PIT-1797,,,шт,2522.6399999999999,,B-PIT-1797,,
19990,20415,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20400,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
3444,3444,321033385,зарядная станция aolion для зарядки oculus quest 2,210385,,,шт,2298,,210385,,
19990,20425,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20389,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
7000,7049,208719207,плата power over ethernet (poe) hat для raspberry pi 3b+ и 4,RPI-POE,-1,3,шт,2593.3800000000001,,RPI-POE,,
19990,20400,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20500,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20389,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
7803,7803,148073402,"набор для экспериментов ""scratch+arduino. набор для юных конструкторов"" + книга",lc9151,,3,шт,6440,,lc9151,,
436,575,228170284,№24 электродвигатель,znat024,-1,68,шт,138,,znat024,,
436,575,228199019,насадка на вал электродвигателя,znat-NSD-01,-5,15,шт,44,,znat-NSD-01,,
436,575,228200941,пропеллер для электродвигателя (зелёный),znatProp-green,,71,шт,88,,znatProp-green,,
1579,1579,335921463,"книга: седер наоми  ""библиотека программиста. pyton экспресс - курс 3-е изд.",B-PIT-0908,3,2,шт,1279.52,,B-PIT-0908-a,,
3613,3613,281798218,"книга: хейс т. ""искусство схемотехники. теория и практика""",B-BHV-6689,,27,шт,2618,,B-BHV-6689,,
19990,19990,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
395,787,148073524,ubuntu 18.04 (для платформы x86-64 / 1dvd),ubuntu-1804-DVD-64,,,,129,,,,
19990,20415,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
19990,20389,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
2675.96,2675.96,337658160,"книга: клеппман м. ""высоконагруженные приложения. программирование, масштабирование, поддержка""",B-PIT-0512,,,шт,1842.4000000000001,,B-PIT-0512,,
19990,20389,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
7858,7858,203998801,"набор по электронике ""аrduino для изобретателей. набор электронных компонентов+книга""",B-BHV-3988,,7,шт,6160,,B-BHV-3988,,
23070,24061,343074518,защитные плёнки для flipper zero (3 шт.),FLP-A-FILM-3X,,4,шт,686.03999999999996,,FLP-A-FILM-3X,,
23070,24061,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
23070,24061,343073435,силиконовый чехол для flipper zero,FLP-A-CASE-OR,-2,2,шт,1060.8299999999999,,FLP-A-CASE-OR,,
271.80000000000001,271.80000000000001,148073943,"релейный модуль с опторазвязкой 12в 10a, 1 канал",GG-005191,,,шт,160,,GG-005191,,
1890,1890,157289036,"книга: эндрю таненбаум ""архитектура компьютера. 6-е изд.""",B-PIT-1103,,,шт,1375.6800000000001,,B-PIT-1103,,
18000,18300,197889087,"микрокомпьютер raspberry pi 4 model b, 8gb ram",RPI-4B-8GB,-15,16,шт,22645,,RPI-4B-8GB,,
25970,26383,343075088,модуль wi-fi devboard для flipper zero,FLP-M-WIFI,-2,12,шт,3059.5300000000002,,FLP-M-WIFI,,
25970,26383,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
25970,26383,343073435,силиконовый чехол для flipper zero,FLP-A-CASE-OR,-2,2,шт,1060.8299999999999,,FLP-A-CASE-OR,,
19990,20389,338732673,мультитул flipper zero,FLP-Z-W-R01,-14,59,шт,15191,,FLP-Z-W-R04,,
3300,3349,148073915,электронный конструктор эвольвектор: уровень 1. стартовый набор,ЭВ-110,-60,63,шт,2563,,ЭВ-110,,
585,585,163120999,"книга: штерн м. ""силовая электроника. расчеты и схемотехника, 2-е изд.""",B-NIT-891,5,1,шт,368.62,,B-NIT-891,,
